2020-09-08 13:13:47.473745
6210545734 6210545947 {'+': 295, '-': 368, ' ': 27, '?': 103} 0.03
6210545734 6210545980 {'+': 269, '-': 352, ' ': 43, '?': 94} 0.03
6210545734 6210546005 {'+': 351, '-': 351, ' ': 44, '?': 134} 0.09
6210545734 6210546382 {'+': 375, '-': 348, ' ': 47, '?': 156} 0.09
6210545734 6210545581 {'+': 299, '-': 349, ' ': 46, '?': 160} 0.04
6210545734 6110545481 {'+': 301, '-': 372, ' ': 23, '?': 78} 0.03
6210545734 6210545441 {'+': 316, '-': 345, ' ': 50, '?': 90} 0.02
6210545734 6210545611 {'+': 488, '-': 369, ' ': 26, '?': 52} 0.08
6210545734 6210545700 {'+': 387, '-': 351, ' ': 44, '?': 135} 0.05
6210545734 6210545955 {'+': 223, '-': 365, ' ': 30, '?': 73} 0.05
6210545734 6210545505 {'+': 351, '-': 378, ' ': 17, '?': 49} 0.04
6210545734 6210545548 {'+': 371, '-': 382, ' ': 13, '?': 54} 0.06
6210545734 6210546714 {'+': 363, '-': 367, ' ': 28, '?': 74} 0.04
6210545734 6210545602 {'+': 330, '-': 355, ' ': 40, '?': 100} 0.05
6210545734 6210546048 {'+': 272, '-': 356, ' ': 39, '?': 91} 0.07
6210545734 6210545513 {'+': 299, '-': 347, ' ': 48, '?': 125} 0.06
6210545734 6010546621 {'+': 296, '-': 364, ' ': 31, '?': 72} 0.04
6210545734 6210545459 {'+': 336, '-': 361, ' ': 34, '?': 108} 0.01
6210545734 6210545467 {'+': 352, '-': 363, ' ': 32, '?': 64} 0.03
6210545734 6210545475 {'+': 434, '-': 366, ' ': 29, '?': 117} 0.08
6210545734 6210545564 {'+': 412, '-': 345, ' ': 50, '?': 136} 0.05
6210545734 6210546013 {'+': 313, '-': 347, ' ': 48, '?': 120} 0.03
6210545734 6210546412 {'+': 290, '-': 370, ' ': 25, '?': 52} 0.05
6210545734 6210546439 {'+': 282, '-': 372, ' ': 23, '?': 84} 0.04
6210545734 6210546447 {'+': 321, '-': 358, ' ': 37, '?': 112} 0.03
6210545734 6210546455 {'+': 333, '-': 367, ' ': 28, '?': 103} 0.12
6210545734 6210546650 {'+': 353, '-': 358, ' ': 37, '?': 132} 0.01
6210545734 6210546706 {'+': 308, '-': 343, ' ': 52, '?': 129} 0.04
